time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,train/std,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/explained_variance,eval/mean_ep_length,train/clip_fraction,train/n_updates,train/entropy_loss,train/loss,eval/success_rate,eval/mean_reward
524288,64.625,35,1,-6.7184033,14721,,,,,,,,,,,,,,
999424,,,,,,1.02266263961792,0.2,0.0004912618666666667,-2.6479774783183528e-05,0.0012592755,0.7068351277150213,0.03280609846115112,200.0,0.007757663726806641,20,-2.874009184795432,0.28708475828170776,0.0,-49.914390563964844
1048576,190.29,141,2,-47.872124,7408,,,,,,,,,,,,,,
1572864,172.8,232,3,-41.52122,6777,1.0405625104904175,0.2,0.00048252373333333335,-0.0016438465298733718,0.00733609,0.05549153274878336,-2.9802095890045166,,0.07426795959472657,40,-2.9166479263221845,-0.0021442025899887085,,
1998848,,,,,,1.0369019508361816,0.2,0.00047378560000000005,-0.00482939490030958,0.005422071,0.01125506100788698,0.9016543105244637,200.0,0.05717792510986328,60,-2.9103900091489776,-0.03184274956583977,0.0,-51.26876449584961
2097152,145.02,337,4,-37.07681,6222,,,,,,,,,,,,,,
2621440,149.49,435,5,-38.51431,6022,1.0358517169952393,0.2,0.0004650474666666667,-0.0020593082387335925,0.0042612813,0.044993352645542474,0.8365384489297867,,0.03979196548461914,80,-2.9048710217000915,-0.014658547937870026,,
2998272,,,,,,1.033042550086975,0.2,0.00045630933333333333,-0.001976262463915646,0.004216794,0.05008809706687316,0.8286117762327194,200.0,0.04119796752929687,100,-2.905116876005195,-0.005531921982765198,0.0,-49.018611907958984
3145728,153.71,550,6,-33.39967,5711,,,,,,,,,,,,,,
3670016,155.09,657,7,-34.874355,5584,1.0283759832382202,0.2,0.00044757120000000003,-0.005169383138434114,0.005939475,0.009042794695506017,0.9520822390913963,,0.06553335189819336,120,-2.891316329012625,-0.03296655789017677,,
3997696,,,,,,1.0245368480682373,0.2,0.00043883306666666667,-0.00276434818447342,0.005308793,0.04891446733054181,0.849540039896965,200.0,0.056625652313232425,140,-2.889913677261211,-0.0036166757345199585,0.0,-40.230506896972656
4194304,110.56,776,8,-25.787277,5404,,,,,,,,,,,,,,
4718592,152.96,884,9,-32.648468,5337,1.021224021911621,0.2,0.0004300949333333333,-0.0023994583303874606,0.0051995143,0.04465908324727934,0.8626827746629715,,0.05544261932373047,160,-2.875973311509006,-0.010642273351550102,,
4997120,,,,,,1.0049116611480713,0.2,0.0004213568,-0.00573446325979603,0.0069743996,0.015007375706636595,0.9437720663845539,196.66,0.08168210983276367,180,-2.851615433720872,-0.03453527390956879,0.02,-39.757232666015625
5242880,129.59,1108,10,-30.393492,4730,,,,,,,,,,,,,,
5767168,170.85,1417,11,-41.02058,4069,0.9943649172782898,0.2,0.0004126186666666667,-0.003256140569715171,0.0061890455,1.405834278605471,0.1066402792930603,,0.07150850296020508,200,-2.828904678695835,2.756812572479248,,
5996544,,,,,,0.994024395942688,0.2,0.00040388053333333335,-0.0018787199568578218,0.005785536,0.33728475115203765,0.7662736028432846,164.76,0.06472616195678711,220,-2.827984137763269,1.0142782926559448,0.2,-29.867013931274414
6291456,123.86,1746,12,-26.606413,3602,,,,,,,,,,,,,,
6815744,126.49,2059,13,-27.193117,3309,0.9836357831954956,0.2,0.0003951424,-0.0043599122568139135,0.00689946,0.047442773815964755,0.8796634301543236,,0.08241548538208007,240,-2.7989672146737576,-0.017778731882572174,,
6995968,,,,,,0.9739535450935364,0.2,0.0003864042666666667,-0.002751885824693545,0.005953409,0.049016137989019624,0.962371475994587,157.82,0.067120361328125,260,-2.787406307016499,-0.015584414824843407,0.24,-32.21879577636719
7340032,137.13,2388,14,-29.64593,3073,,,,,,,,,,,,,,
7864320,112.87,2703,15,-22.8968,2909,0.968271017074585,0.2,0.00037766613333333333,-0.002990222281221122,0.00627222,0.02168441596718367,0.9839379359036684,,0.07065010070800781,280,-2.773560485988855,-0.02092740498483181,,
7995392,,,,,,0.9628766179084778,0.2,0.00036892800000000003,-0.0027982469119024246,0.0063614557,0.03246957206138177,0.9880235902965069,102.32,0.07295141220092774,300,-2.7588846058119088,-0.022613653913140297,0.56,-19.772050857543945
8388608,139.7,3034,16,-30.682863,2764,,,,,,,,,,,,,,
8912896,113.5,3350,17,-23.213875,2660,0.9583714008331299,0.2,0.0003601898666666666,-0.0025406526207632394,0.005879175,0.02135160974094106,0.9936255044303834,,0.06813859939575195,320,-2.753194005857222,-0.01954324170947075,,
8994816,,,,,,0.9484209418296814,0.2,0.00035145173333333337,-0.0032642456734492953,0.006625436,0.015052437580288824,0.9956423575058579,94.32,0.07529563903808593,340,-2.730562577978708,-0.024728043004870415,0.6,-18.038171768188477
9437184,111.57,3687,18,-22.046598,2559,,,,,,,,,,,,,,
9961472,120.35,4003,19,-24.697454,2488,0.9447728991508484,0.2,0.0003427136,-0.002765505339311858,0.006534663,0.017519437720147836,0.9958040351048112,,0.07184371948242188,360,-2.719634075765498,-0.022144155576825142,,
9994240,,,,,,0.9329721927642822,0.2,0.00033397546666666665,-0.00340228698635201,0.006782512,0.010080830066317503,0.9976365948095918,119.52,0.07674322128295899,380,-2.69832420530729,-0.022775277495384216,0.48,-20.934326171875
10485760,108.8,4336,20,-22.036081,2418,,,,,,,,,,,,,,
10993664,,,,,,0.9242438673973083,0.2,0.00032523733333333335,-0.003220543449219804,0.006727203,0.010112942832301996,0.9977056561037898,112.3,0.0787546157836914,400,-2.6785363745409994,-0.02483544498682022,0.52,-18.858074188232422
11010048,104.86,4670,21,-22.49605,2357,,,,,,,,,,,,,,
11534336,78.91,4988,22,-15.3194275,2312,0.912470817565918,0.2,0.0003164992,-0.0035730352949258303,0.0070771147,0.00726048550991436,0.9983376441523433,,0.08009424209594726,420,-2.6535547795007006,-0.02223081886768341,,
11993088,,,,,,0.9025783538818359,0.2,0.0003077610666666667,-0.0034595986359818197,0.00703929,0.005667644387312975,0.9986979276873171,60.92,0.08300409317016602,440,-2.6307520957197994,-0.02883489988744259,0.78,-9.979460716247559
12058624,76.71,5326,23,-14.258636,2263,,,,,,,,,,,,,,
12582912,79.07,5644,24,-14.078135,2229,0.8904029130935669,0.2,0.0002990229333333333,-0.0033836112215340107,0.007238981,0.004606810444943221,0.9988850868539885,,0.08229665756225586,460,-2.6059831317979842,-0.02735784836113453,,
12992512,,,,,,0.8815547823905945,0.2,0.00029028480000000003,-0.0027736817619597788,0.0071581625,0.003735115660356314,0.9990723406663164,73.84,0.08026561737060547,480,-2.5862141204532234,-0.0310972947627306,0.72,-13.068076133728027
13107200,83.46,5980,25,-215.76967,2191,,,,,,,,,,,,,,
13631488,63.9,6296,26,-10.46862,2164,0.8702305555343628,0.2,0.00028154666666666667,-0.002854480343569321,0.007255041,0.0029621694443221712,0.9991946384543553,,0.08090181350708008,500,-2.561591698927805,-0.027140269055962563,,
13991936,,,,,,0.8583451509475708,0.2,0.0002728085333333333,-0.002887520333985094,0.007499681,0.0021824060991775694,0.999398373416625,55.08,0.08519392013549805,520,-2.5330189218744636,-0.02447197213768959,0.82,-9.6590576171875
14155776,68.66,6635,27,-12.346572,2133,,,,,,,,,,,,,,
14680064,67.93,6954,28,-13.420279,2110,0.850487232208252,0.2,0.00026407040000000007,-0.0025093611691659134,0.0072539947,0.0021785758066585003,0.999438039609231,,0.08302478790283203,540,-2.513999219238758,-0.026047080755233765,,
14991360,,,,,,0.8428118228912354,0.2,0.00025533226666666665,-0.002066038179350471,0.0070712725,0.0016694753910428517,0.999486637301743,63.24,0.0798447608947754,560,-2.495909402309917,-0.02730470523238182,0.78,-10.4899320602417
15204352,59.54,7299,29,-10.127753,2083,,,,,,,,,,,,,,
15728640,65.82,7620,30,-12.954202,2064,0.8360826969146729,0.2,0.00024659413333333335,-0.0021725317561504197,0.007399922,0.001573086291614345,0.999530806846451,,0.08661985397338867,580,-2.478590136533603,-0.02487289160490036,,
15990784,,,,,,0.8268066644668579,0.2,0.00023785600000000002,-0.0021626089378912637,0.007780662,0.0013637926467083617,0.9995980613748543,62.5,0.08610076904296875,600,-2.4581781311891975,-0.0239171851426363,0.8,-10.85853385925293
16252928,53.07,7961,31,-8.960971,2041,,,,,,,,,,,,,,
16777216,58.86,8291,32,-11.576797,2023,0.8189741969108582,0.2,0.00022911786666666666,-0.00189981483970314,0.0073283277,0.14527081761373778,0.9675303474068642,,0.08112964630126954,620,-2.435681235184893,-0.026065820828080177,,
16990208,,,,,,0.8135395646095276,0.2,0.00022037973333333333,-0.0015399672542002918,0.007194143,0.0012194260732883322,0.9997222206147853,56.8,0.08043327331542968,640,-2.424165048007853,-0.021371057257056236,0.82,-10.146564483642578
17301504,56.45,8644,33,-10.431744,2001,,,,,,,,,,,,,,
17825792,56.4,8976,34,-9.596811,1985,0.8060911893844604,0.2,0.00021164159999999998,-0.0015059403914392533,0.007186682,0.001282690289508537,0.99968129498302,,0.08106861114501954,660,-2.4087436224101113,-0.020507661625742912,,
17989632,,,,,,0.8015641570091248,0.2,0.00020290346666666665,-0.0011760653393366738,0.0071506775,0.0010903739716297879,0.9996024493011646,58.56,0.07961521148681641,680,-2.3947087114444003,-0.028139663860201836,0.82,-10.409027099609375
18350080,41.73,9331,35,-6.712619,1966,,,,,,,,,,,,,,
18874368,48.61,9662,36,-8.543669,1953,0.7944662570953369,0.2,0.00019416533333333337,-0.0013482856195423665,0.0075514996,0.0009856048999552058,0.9995765444764402,,0.08325576782226562,700,-2.379228751640767,-0.025786474347114563,,
18989056,,,,,,0.7886418104171753,0.2,0.0001854272,-0.0013221214489703924,0.007396591,0.0009565766016578437,0.9995947727875318,43.08,0.08173494338989258,720,-2.3649002860533073,-0.022778326645493507,0.9,-8.027844429016113
19398656,42.8,10017,37,-6.635481,1936,,,,,,,,,,,,,,
19922944,41.79,10348,38,-6.306536,1925,0.7838031053543091,0.2,0.00017668906666666668,-0.001075306263760467,0.0071503664,0.0009204833867926254,0.9995279722497799,,0.07993946075439454,740,-2.35241136145778,-0.02372303046286106,,
19988480,,,,,,0.7787390947341919,0.2,0.00016795093333333332,-0.0014135373788803918,0.0071604527,0.0008531195043445905,0.9996114521636628,30.0,0.07852630615234375,760,-2.337948978226632,-0.025937112048268318,0.96,-3.471703290939331
20447232,49.89,10706,39,-7.3253026,1909,,,,,,,,,,,,,,
20971520,42.0,11039,40,-7.0168543,1899,0.7726977467536926,0.2,0.0001592128,-0.001649723020602778,0.007221328,0.0007868374138467971,0.9996100219141226,,0.07876577377319335,780,-2.3209651709534227,-0.026064176112413406,,
20987904,,,,,,0.7682132124900818,0.2,0.00015047466666666664,-0.0010847540213831052,0.006786912,0.000695042300952764,0.9996545900648925,42.9,0.07121896743774414,800,-2.3095905458321795,-0.021784018725156784,0.9,-8.305603981018066
21495808,44.99,11396,41,-8.071011,1886,,,,,,,,,,,,,,
21987328,,,,,,0.7657520174980164,0.2,0.00014173653333333336,-0.0012996795598724021,0.006857114,0.0008258233283044092,0.9996415986970533,43.92,0.07381734848022461,820,-2.3041881690965966,-0.022868255153298378,0.88,-7.534221172332764
22020096,38.6,11754,42,-6.8845406,1873,,,,,,,,,,,,,,
22544384,40.9,12085,43,-5.7680287,1865,0.7645888924598694,0.2,0.00013299840000000003,-0.0012217522567311788,0.0061789053,0.0006937977992009792,0.9996502482972573,,0.06864547729492188,840,-2.3016398625681176,-0.024491630494594574,,
22986752,,,,,,0.7598844766616821,0.2,0.00012426026666666667,-0.001401422109233863,0.0066060247,0.000602568327354902,0.9996586562483571,33.82,0.06979188919067383,860,-2.290769571461715,-0.019580848515033722,0.96,-5.003002643585205
23068672,51.92,12442,44,-9.25721,1854,,,,,,,,,,,,,,
23592960,41.92,12774,45,-6.7921386,1846,0.7549734115600586,0.2,0.00011552213333333333,-0.0013083559780511678,0.0061985333,0.0006593098119282104,0.9997141228814144,,0.06493053436279297,880,-2.2784681073157116,-0.025920428335666656,,
23986176,,,,,,0.7483943700790405,0.2,0.00010678399999999999,-0.0014848412846902193,0.0061246753,0.0004902957620686266,0.9996914753282908,37.44,0.063525390625,900,-2.2591386617394162,-0.027111954987049103,0.92,-5.458555698394775
24117248,35.59,13130,46,-5.6640916,1836,,,,,,,,,,,,,,
24641536,39.42,13463,47,-6.9943542,1830,0.7437511682510376,0.2,9.804586666666666e-05,-0.0015407462395614856,0.0060089743,0.0005495754790501905,0.999742782994872,,0.06263179779052734,920,-2.247708432143554,-0.014973902143537998,,
24985600,,,,,,0.7393211126327515,0.2,8.930773333333331e-05,-0.0013640113926271624,0.0056710327,0.0006720676018829863,0.9997558317845687,65.36,0.05720529556274414,940,-2.234032540093176,-0.027595942839980125,0.8,-12.987569808959961
25165824,30.41,13825,48,-3.8828907,1820,,,,,,,,,,,,,,
25690112,42.93,14161,49,-7.2705913,1814,0.732586145401001,0.2,8.056960000000002e-05,-0.001610999925287615,0.005749222,0.00048215380653005013,0.9996627914370038,,0.05528583526611328,960,-2.2174749166239054,-0.027283363044261932,,
25985024,,,,,,0.728814423084259,0.2,7.183146666666668e-05,-0.0014471155763089883,0.0051050135,0.0005010279430976538,0.9997113000717945,29.14,0.050080299377441406,980,-2.2061390035785733,-0.02033919282257557,0.98,-4.258268356323242
26214400,32.6,14526,50,-204.09694,1804,,,,,,,,,,,,,,
26738688,38.74,14863,51,-6.569176,1798,0.7255169153213501,0.2,6.309333333333333e-05,-0.0015264110776115557,0.004907362,0.0004367909851524132,0.999715676647611,,0.04626026153564453,1000,-2.1974016565596686,-0.027530226856470108,,
26984448,,,,,,0.7207012176513672,0.2,5.435519999999999e-05,-0.0016709361707853531,0.00485456,0.0004466633308069845,0.9997556328889914,34.62,0.04520149230957031,1020,-2.183184256288223,-0.03036941960453987,0.94,-6.091256141662598
27262976,36.66,15227,52,-5.0720615,1790,,,,,,,,,,,,,,
27787264,30.91,15564,53,-4.3800097,1785,0.7155938744544983,0.2,4.5617066666666654e-05,-0.0014638722526569836,0.004583268,0.00045766519725276567,0.9997966687660664,,0.03999538421630859,1040,-2.169758725212887,-0.02416503243148327,,
27983872,,,,,,0.7122564315795898,0.2,3.687893333333331e-05,-0.0015529326140040212,0.0042290045,0.0004174992241928521,0.9998237989057088,34.6,0.035976314544677736,1060,-2.1603977126069367,-0.024755354970693588,0.96,-4.92727518081665
28311552,39.82,15925,54,-6.2007384,1777,,,,,,,,,,,,,,
28835840,43.26,16260,55,-6.9088287,1773,0.7074731588363647,0.2,2.814080000000002e-05,-0.0014872938834855631,0.004043199,0.00039587292398692855,0.999813161601196,,0.031197261810302735,1080,-2.148323038336821,-0.02805180661380291,,
28983296,,,,,,0.7017785310745239,0.2,1.940266666666668e-05,-0.0015661482479117695,0.0036765556,0.00042008592832019074,0.999827751351404,22.5,0.027278327941894533,1100,-2.133707750542089,-0.027089344337582588,1.0,-2.328709602355957
29360128,38.38,16605,56,-5.372835,1768,,,,,,,,,,,,,,
29884416,42.31,16942,57,-7.0745697,1763,0.6985965967178345,0.2,1.0664533333333338e-05,-0.0012373981163136705,0.0031266008,0.00039373697385798324,0.9998312848911155,,0.018366241455078126,1120,-2.1232605261960997,-0.02040020562708378,,
29982720,,,,,,0.6983692049980164,0.2,1.926399999999995e-06,-0.0006778864316629551,0.0018959123,0.13175986723774713,0.9781526569277048,38.32,0.006444454193115234,1140,-2.1189572690986096,-0.019659830257296562,0.9,-5.9283061027526855
30408704,38.96,17311,58,-7.1895986,1756,,,,,,,,,,,,,,
