train/loss,train/entropy_loss,time/total_timesteps,train/value_loss,eval/success_rate,train/clip_range,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/learning_rate,train/std,train/explained_variance,eval/mean_reward,train/clip_fraction,eval/mean_ep_length,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps
0.0255893524736166,-2.139932222478092,263840,0.034421009453581064,0.0,0.2,-0.00501487460496719,150,0.0074180784,0.00027378559999999996,0.701356053352356,0.9971901054959744,-7.47797881,0.063275146484375,50.0,,,,,
-0.0013113003224134445,-2.07639245884493,294912,0.033799468056167827,,0.2,-0.00499917072847893,160,0.006936981,0.0002721472,0.6794561147689819,0.9973012693226337,,0.060546875,,-6.81593949,50.0,8,472,277
0.0018872832879424095,-1.83734141709283,363840,0.021276024826147478,0.0,0.2,-0.0030006884546310173,210,0.00468451,0.0002639552,0.6037410497665405,0.9988678592490032,-7.458182260000002,0.0463134765625,50.0,,,,,
-0.001044202595949173,-1.6726700581144542,425984,0.02095274864732346,,0.2,-0.002681926517834654,240,0.006445367,0.00025903999999999993,0.5530421733856201,0.9991214013425633,,0.044549560546875,,-7.48184923,50.0,16,1060,247
-0.0013778116554021835,-1.5490735727827996,463840,0.020012592479179147,0.0,0.2,-0.001448694384089322,270,0.0042704716,0.0002541248,0.5231961011886597,0.9993456734810024,-7.4513221099999996,0.03782958984375,50.0,,,,,
0.019100334495306015,-1.4102941843681038,557056,0.016706099952898512,,0.2,-0.0008352402628588607,320,0.0041239997,0.0002459328,0.48972371220588684,0.9995300850423519,,0.03411865234375,,-7.535592380000001,50.0,24,1610,244
0.009103952907025814,-1.3776666428428144,563840,0.02036975191476813,0.01,0.2,-0.0013594508733149268,330,0.0040379204,0.00024429439999999996,0.47936707735061646,0.9994579042540863,-6.9245806000000005,0.0327880859375,50.0,,,,,
0.03419485315680504,-1.2410941985435784,663840,0.020069390215940074,0.01,0.2,-0.0005148094813193893,390,0.0033791785,0.00023446399999999996,0.45066240429878235,0.9995095483609475,-6.842224599999998,0.03057861328125,50.0,,,,,
-0.0053406693041324615,-1.2289540785830468,688128,0.0169983363168285,,0.2,-0.0007758122177619952,400,0.0039349645,0.00023282559999999997,0.4469258487224579,0.9995912475860678,,0.02742919921875,,-6.680768049999999,50.0,32,2207,237
0.012129126116633415,-1.1847198355477304,763840,0.017509209666604873,0.0,0.2,-0.0017961319550522602,450,0.0046258727,0.0002246336,0.43601757287979126,0.9996057927783113,-6.646962159999999,0.038275146484375,50.0,,,,,
0.013770226389169693,-1.1713239047210664,819200,0.018745826828308054,,0.2,-0.0005892543740628753,480,0.0035041133,0.00021971840000000001,0.43373459577560425,0.9995953218895011,,0.03284912109375,,-7.34602763,50.0,40,2792,234
0.011235546320676804,-1.1425261178985238,863840,0.02276264132487995,0.0,0.2,-0.0008600227190981968,510,0.004021499,0.0002148032,0.4285510182380676,0.9994412924279459,-6.770377039999999,0.039990234375,50.0,,,,,
0.014916243962943554,-1.1041506350040435,950272,0.017139536509239404,,0.2,0.0001526443134935107,560,0.002542611,0.00020661119999999998,0.4207063317298889,0.9995956371712964,,0.02247314453125,,-7.182256749999999,50.0,48,3362,233
0.010086212307214737,-1.0906593626830727,963840,0.017005570756009548,0.0,0.2,-0.0007438767066560104,570,0.0038733203,0.0002049728,0.4167550802230835,0.9995887333643623,-6.947446420000001,0.031842041015625,50.0,,,,,
0.018382856622338295,-1.0406367790419608,1063840,0.016814751601486932,0.0,0.2,-0.0006408345892850775,630,0.004723214,0.00019514239999999998,0.40675753355026245,0.9996236716106068,-7.586956650000001,0.0323486328125,50.0,,,,,
0.029577795416116714,-1.0214852691628038,1081344,0.01660337607972906,,0.2,-0.0011339407563355052,640,0.0045669475,0.00019350399999999997,0.4023295044898987,0.9996467632008716,,0.039935302734375,,-7.22237561,50.0,56,3992,229
0.0010691359639167786,-0.8932172641158104,1163840,0.016800713312295556,0.0,0.2,-0.0008310645809615381,700,0.0036785102,0.0001836736,0.3785696029663086,0.9996139079157729,-7.07323326,0.034698486328125,50.0,,,,,
0.008901460096240044,-0.8795321772340685,1212416,0.0168450681023387,,0.2,-0.0014244209069147473,720,0.003920237,0.0001803968,0.3750211000442505,0.9996293374279048,,0.03568115234375,,-7.110327410000001,50.0,64,4575,229
0.006075616925954819,-0.8487415974726901,1263840,0.018490996119726332,0.01,0.2,-0.0008623090870969463,760,0.0040872125,0.0001738432,0.36907899379730225,0.9996373197063804,-7.3831148099999995,0.03291015625,50.0,,,,,
0.028861558064818382,-0.782284659286961,1343488,0.017932980951263743,,0.2,-0.0013436218412607559,800,0.00433571,0.00016728959999999998,0.3572547435760498,0.9996236995211802,,0.03858642578125,,-7.726207990000001,50.0,72,5162,228
-0.01771288365125656,-0.7467477542813867,1363840,0.01641315011838742,0.0,0.2,-0.0010587576665784582,820,0.0033559324,0.00016401279999999998,0.3504186272621155,0.999644716444891,-6.69893283,0.029693603515625,50.0,,,,,
-0.000998539850115776,-0.6799021205399185,1463840,0.01663929369096877,0.0,0.2,-0.0008815168053843081,880,0.0039099883,0.0001541824,0.3390374779701233,0.9996395828202367,-6.940257760000001,0.035986328125,50.0,,,,,
,,1474560,,,,,,,,,,,,,-7.73090917,50.0,80,5634,232
0.0007456056773662567,-0.6071788328699768,1563840,0.023069339657740783,0.0,0.2,-0.0006873580785395461,940,0.0040235883,0.000144352,0.32677820324897766,0.9995030220597982,-7.03096376,0.031536865234375,50.0,,,,,
-0.016493581235408783,-0.5882205259520561,1605632,0.01625497332006489,,0.2,-0.0005930702225668937,960,0.0031424852,0.0001410752,0.32471540570259094,0.9996337336488068,,0.02705078125,,-7.294941019999999,50.0,88,6129,235
0.004954593256115913,-0.5320429577492177,1663840,0.01721160392189631,0.01,0.2,-0.0009875389184344386,1000,0.0038898769,0.00013452159999999998,0.3154700994491577,0.9996368127758615,-6.75061786,0.036181640625,50.0,,,,,
0.03088432550430298,-0.48355859857983885,1736704,0.020975784272013697,,0.2,-0.0009439709061553003,1040,0.003849517,0.000127968,0.30836987495422363,0.9995183533173986,,0.0347900390625,,-7.959335289999999,50.0,96,6712,234
0.006759105250239372,-0.4986398001667112,1763840,0.015351451816241025,0.0,0.2,-0.0005156590972546837,1060,0.0037695495,0.00012469119999999998,0.3110617995262146,0.9996803956455551,-6.78472677,0.02996826171875,50.0,,,,,
0.03530283272266388,-0.466817396460101,1863840,0.021034779058027198,0.0,0.2,-0.0004413620728882961,1120,0.0043173796,0.00011486079999999997,0.30431148409843445,0.9995318529254291,-7.52033578,0.033453369140625,50.0,,,,,
,,1867776,,,,,,,,,,,,,-7.07048897,50.0,104,7334,232
-0.004294002894312143,-0.40782120418734846,1963840,0.015759201666696754,0.0,0.2,-0.0006641883395786863,1180,0.0035882937,0.0001050304,0.2968069314956665,0.9996462576673366,-7.44192663,0.02919921875,50.0,,,,,
